speech_id,file_name,language_estimate,rank,token,frequency
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,3,united,19
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,4,world,13
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,5,indonesia,12
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,6,peace,11
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,7,great,9
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,8,today,9
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,9,human,9
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,10,president,8
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,11,madam,7
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,12,assembly,7
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,13,live,7
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,14,general,6
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,15,justice,6
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,16,overcome,6
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,17,security,6
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,18,journey,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,19,poverty,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,20,continue,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,21,oppression,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,22,food,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,23,years,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,24,strong,5
SPCH_006_PBB_80,NASKAH-PIDATO-PRABOWO-PBB-80.txt,en,25,right,5
